Column Name,Description in Plain English,Logic / Formula,Source Table(s)
Day + 2,Count flag for delivered orders that arrived exactly two calendar days after creation (day_diff = 2).,"analytics_insight.ordernhm.""Day + 2""",analytics_insight.ordernhm
More than 2 Days,Count flag for delivered orders that took more than two calendar days to arrive (day_diff > 2).,"analytics_insight.ordernhm.""More than 2 Days""",analytics_insight.ordernhm
On time deliveries,"On-time delivery indicator with nulls replaced by 0, safe for summing across all orders.","analytics_insight.ordernhm.""On time deliveries""",analytics_insight.ordernhm
Average TAT (in mins),Actual end-to-end TAT in minutes for delivered orders; null for non-delivered orders.,"analytics_insight.ordernhm.""Average TAT (in mins)""",analytics_insight.ordernhm
Avg Delivery (mins),Actual delivery duration in minutes for delivered orders where a positive min_diff is recorded; null otherwise.,"analytics_insight.ordernhm.""Avg Delivery (mins)""",analytics_insight.ordernhm
F&B mins diff,Elapsed minutes from order creation to delivery specifically for Food & Beverage category orders.,"analytics_insight.ordernhm.""F&B mins diff""",analytics_insight.ordernhm
Within 15 mins,Count flag for F&B delivered orders completed within 15 minutes.,"analytics_insight.ordernhm.""Within 15 mins""",analytics_insight.ordernhm
15 - 30 mins,Count flag for F&B delivered orders completed in 15–30 minutes.,"analytics_insight.ordernhm.""15 - 30 mins""",analytics_insight.ordernhm
30 - 45 mins,Count flag for F&B delivered orders completed in 30–45 minutes.,"analytics_insight.ordernhm.""30 - 45 mins""",analytics_insight.ordernhm
45 - 60 mins,Count flag for F&B delivered orders completed in 45–60 minutes.,"analytics_insight.ordernhm.""45 - 60 mins""",analytics_insight.ordernhm
60 - 120 mins,Count flag for F&B delivered orders completed in 60–120 minutes.,"analytics_insight.ordernhm.""60 - 120 mins""",analytics_insight.ordernhm
Above 120 mins,Count flag for F&B delivered orders taking more than 120 minutes.,"analytics_insight.ordernhm.""Above 120 mins""",analytics_insight.ordernhm
TAT < 5 mins,Count flag for orders with a TAT of less than 5 minutes (hyperlocal/instant delivery).,"analytics_insight.ordernhm.""TAT < 5 mins""",analytics_insight.ordernhm
TAT 5-15 mins,Count flag for orders with a TAT between 5 and 15 minutes.,"analytics_insight.ordernhm.""TAT 5-15 mins""",analytics_insight.ordernhm
TAT 15-30 mins,Count flag for orders with a TAT between 15 and 30 minutes.,"analytics_insight.ordernhm.""TAT 15-30 mins""",analytics_insight.ordernhm
TAT 30-60 mins,Count flag for orders with a TAT between 30 and 60 minutes.,"analytics_insight.ordernhm.""TAT 30-60 mins""",analytics_insight.ordernhm
TAT > 60 mins,Count flag for orders with a TAT exceeding 60 minutes (minute-scale bucket ceiling).,"analytics_insight.ordernhm.""TAT > 60 mins""",analytics_insight.ordernhm
TAT 0-6 hrs,Count flag for orders with a TAT between 0 and 6 hours.,"analytics_insight.ordernhm.""TAT 0-6 hrs""",analytics_insight.ordernhm
TAT 6-12 hrs,Count flag for orders with a TAT between 6 and 12 hours.,"analytics_insight.ordernhm.""TAT 6-12 hrs""",analytics_insight.ordernhm
TAT 12-24 hrs,Count flag for orders with a TAT between 12 and 24 hours.,"analytics_insight.ordernhm.""TAT 12-24 hrs""",analytics_insight.ordernhm
TAT 24-48 hrs,Count flag for orders with a TAT between 24 and 48 hours.,"analytics_insight.ordernhm.""TAT 24-48 hrs""",analytics_insight.ordernhm
TAT >48 hrs,Count flag for orders with a TAT exceeding 48 hours.,"analytics_insight.ordernhm.""TAT >48 hrs""",analytics_insight.ordernhm
TAT+1,Count flag for orders delivered up to 1 day beyond the promised TAT.,"analytics_insight.ordernhm.""TAT+1""",analytics_insight.ordernhm
TAT + 2,Count flag for orders delivered up to 2 days beyond the promised TAT.,"analytics_insight.ordernhm.""TAT + 2""",analytics_insight.ordernhm
TAT + 3,Count flag for orders delivered up to 3 days beyond the promised TAT.,"analytics_insight.ordernhm.""TAT + 3""",analytics_insight.ordernhm
TAT + 4,Count flag for orders delivered up to 4 days beyond the promised TAT.,"analytics_insight.ordernhm.""TAT + 4""",analytics_insight.ordernhm
TAT > 4,Count flag for orders delivered more than 4 days beyond the promised TAT.,"analytics_insight.ordernhm.""TAT > 4""",analytics_insight.ordernhm
TAT (Same day),Count flag for orders delivered on the same calendar day as the TAT deadline.,"analytics_insight.ordernhm.""TAT (Same day)""",analytics_insight.ordernhm
Non F&B days diff,Elapsed days from order creation to delivery for non-F&B category orders.,"analytics_insight.ordernhm.""Non F&B days diff""",analytics_insight.ordernhm
Shipped mark,Binary flag (1/0) indicating whether a shipment dispatch record (Shipped at) exists for the order.,"analytics_insight.ordernhm.""Shipped mark""",analytics_insight.ordernhm
Seller State,Indian state corresponding to the seller's pincode.,"analytics_insight.ordernhm.""Seller State""",analytics_insight.ordernhm
Delivery State,Indian state corresponding to the delivery pincode.,"analytics_insight.ordernhm.""Delivery State""",analytics_insight.ordernhm
Seller City,City corresponding to the seller's pincode.,"analytics_insight.ordernhm.""Seller City""",analytics_insight.ordernhm
Delivery City,City corresponding to the delivery pincode.,"analytics_insight.ordernhm.""Delivery City""",analytics_insight.ordernhm
Seller Tier,Metro/Tier-1/Tier-2/Tier-3 classification of the seller's city.,"analytics_insight.ordernhm.""Seller Tier""",analytics_insight.ordernhm
Delivery Tier,Metro/Tier-1/Tier-2/Tier-3 classification of the delivery destination city.,"analytics_insight.ordernhm.""Delivery Tier""",analytics_insight.ordernhm
Order type,"Classification of the order by fulfillment type (e.g., prepaid, COD, same-day, scheduled).","analytics_insight.ordernhm.""Order type""",analytics_insight.ordernhm
Breach,Binary flag (1/0) indicating whether the order breached its promised TAT.,"analytics_insight.ordernhm.""Breach""",analytics_insight.ordernhm
attributed_to,"Party attributed responsibility for the cancellation (e.g., seller, buyer, logistics).","analytics_insight.ordernhm.""attributed_to""",analytics_insight.ordernhm
reason_for_cancellation,Free-text or coded description of why the order was cancelled.,"analytics_insight.ordernhm.""reason_for_cancellation""",analytics_insight.ordernhm
is_triggers_rto,Flag indicating whether the cancellation initiated a Return To Origin shipment back to the seller.,"analytics_insight.ordernhm.""is_triggers_rto""",analytics_insight.ordernhm
cancelled_by,"Entity that triggered the cancellation action (buyer, seller, or LSP).","analytics_insight.ordernhm.""cancelled_by""",analytics_insight.ordernhm
whether_applicable_for_part_cancel,Flag indicating whether the order qualifies for partial cancellation under ONDC policy.,"analytics_insight.ordernhm.""whether_applicable_for_part_cancel""",analytics_insight.ordernhm
sorting,Attribute used to control display or reporting sort order.,"analytics_insight.ordernhm.""sorting""",analytics_insight.ordernhm
Buyer cancel,Count flag for orders where the cancellation was initiated by the buyer.,"analytics_insight.ordernhm.""Buyer cancel""",analytics_insight.ordernhm
Seller cancel,Count flag for orders where the cancellation was initiated by the seller.,"analytics_insight.ordernhm.""Seller cancel""",analytics_insight.ordernhm
Logistic cancel,Count flag for orders where the cancellation was initiated by the Logistics Service Provider.,"analytics_insight.ordernhm.""Logistic cancel""",analytics_insight.ordernhm
Cancelled att,"Attribution label indicating which party (buyer, seller, or LSP) is responsible for the cancellation.","analytics_insight.ordernhm.""Cancelled att""",analytics_insight.ordernhm
Seller Zone,"Broad geographic zone (e.g., North, South, East, West) of the seller's location.","analytics_insight.ordernhm.""Seller Zone""",analytics_insight.ordernhm
Delivery Zone,Broad geographic zone of the delivery destination.,"analytics_insight.ordernhm.""Delivery Zone""",analytics_insight.ordernhm
Delivery Type,"Mode or speed tier of the delivery (e.g., standard, express, same-day, hyperlocal).","analytics_insight.ordernhm.""Delivery Type""",analytics_insight.ordernhm
"▼ ordernhm_open_data   (view, 92 cols)",,,analytics_insight.ordernhm_open_data
Date,Calendar date of the order.,"analytics_insight.ordernhm_open_data.""Date""",analytics_insight.ordernhm_open_data
Seller NP,Name of the seller-side Network Participant (platform through which the seller operates).,"analytics_insight.ordernhm_open_data.""Seller NP""",analytics_insight.ordernhm_open_data
Buyer NP,Name of the buyer-side Network Participant (platform through which the buyer placed the order).,"analytics_insight.ordernhm_open_data.""Buyer NP""",analytics_insight.ordernhm_open_data
Network order id,Unique order identifier assigned across the ONDC network.,"analytics_insight.ordernhm_open_data.""Network order id""",analytics_insight.ordernhm_open_data
provider key,Lowercase composite key (SellerNP_ProviderId) uniquely identifying a seller on a specific Network Participant.,"analytics_insight.ordernhm_open_data.""provider key""",analytics_insight.ordernhm_open_data
Provider Id,Unique identifier for the seller/provider as registered on the ONDC network.,"analytics_insight.ordernhm_open_data.""Provider Id""",analytics_insight.ordernhm_open_data
Seller Name,Display name of the seller or store fulfilling the order.,"analytics_insight.ordernhm_open_data.""Seller Name""",analytics_insight.ordernhm_open_data
Seller Pincode,"Indian postal code of the seller's location, set to null if the value is invalid or masked.","analytics_insight.ordernhm_open_data.""Seller Pincode""",analytics_insight.ordernhm_open_data
Delivery Pincode,"Indian postal code of the delivery destination, set to null if the value is invalid or masked.","analytics_insight.ordernhm_open_data.""Delivery Pincode""",analytics_insight.ordernhm_open_data
cancellation_code,ONDC-standard code indicating the reason for order cancellation.,"analytics_insight.ordernhm_open_data.""cancellation_code""",analytics_insight.ordernhm_open_data
Created at,Timestamp when the order was originally placed on the network.,"analytics_insight.ordernhm_open_data.""Created at""",analytics_insight.ordernhm_open_data
Updated at,"Timestamp of the most recent order status change (e.g., time of delivery or cancellation).","analytics_insight.ordernhm_open_data.""Updated at""",analytics_insight.ordernhm_open_data
Shipped at,Timestamp when the order was physically dispatched by the seller.,"analytics_insight.ordernhm_open_data.""Shipped at""",analytics_insight.ordernhm_open_data
Ready to Ship,Timestamp when the seller marked the order as packed and ready for logistics pickup.,"analytics_insight.ordernhm_open_data.""Ready to Ship""",analytics_insight.ordernhm_open_data
Promised time,"Seller-committed deadline for order delivery, used as the TAT benchmark.","analytics_insight.ordernhm_open_data.""Promised time""",analytics_insight.ordernhm_open_data
domain,"ONDC domain the order belongs to (e.g., retail, F&B, logistics).","analytics_insight.ordernhm_open_data.""domain""",analytics_insight.ordernhm_open_data
on-time-del,Flag (1/0) indicating whether the order was delivered within the promised TAT.,"analytics_insight.ordernhm_open_data.""on-time-del""",analytics_insight.ordernhm_open_data
tat_dif,"Raw TAT breach indicator; 0 if delivered on time, positive value if the promised TAT was exceeded.","analytics_insight.ordernhm_open_data.""tat_dif""",analytics_insight.ordernhm_open_data
tat_diff_days,TAT breach duration expressed in calendar days.,"analytics_insight.ordernhm_open_data.""tat_diff_days""",analytics_insight.ordernhm_open_data
day_diff,Number of calendar days elapsed between order creation and delivery.,"analytics_insight.ordernhm_open_data.""day_diff""",analytics_insight.ordernhm_open_data
min_diff,Number of minutes elapsed between order creation and delivery.,"analytics_insight.ordernhm_open_data.""min_diff""",analytics_insight.ordernhm_open_data
tat_time,Actual end-to-end fulfillment duration in minutes for the order.,"analytics_insight.ordernhm_open_data.""tat_time""",analytics_insight.ordernhm_open_data
Category,"Product category of the order (e.g., F&B, Electronics, Fashion).","analytics_insight.ordernhm_open_data.""Category""",analytics_insight.ordernhm_open_data
Consolidated_category,Higher-level grouping of product category for simplified reporting.,"analytics_insight.ordernhm_open_data.""Consolidated_category""",analytics_insight.ordernhm_open_data
ONDC order_status,"Current lifecycle status of the order on the ONDC network (Delivered, Cancelled, In Process, Part Delivered).","analytics_insight.ordernhm_open_data.""ONDC order_status""",analytics_insight.ordernhm_open_data
no_key,"Numeric unit count per order row (typically 1), used as the base measure for aggregating order volumes.","analytics_insight.ordernhm_open_data.""no_key""",analytics_insight.ordernhm_open_data
Confirmed,"Count of orders (equals no_key for all rows), representing total confirmed orders in the dataset.","analytics_insight.ordernhm_open_data.""Confirmed""",analytics_insight.ordernhm_open_data
Delivered,"Count flag equal to no_key if order status is Delivered, else 0, for summing delivered order volumes.","analytics_insight.ordernhm_open_data.""Delivered""",analytics_insight.ordernhm_open_data
Cancelled,"Count flag equal to no_key if order status is Cancelled, else 0, for summing cancelled order volumes.","analytics_insight.ordernhm_open_data.""Cancelled""",analytics_insight.ordernhm_open_data
In Process,"Count flag equal to no_key if order status is In Process, else 0.","analytics_insight.ordernhm_open_data.""In Process""",analytics_insight.ordernhm_open_data
Part Delivered,"Count flag equal to no_key if order status is Part Delivered, else 0.","analytics_insight.ordernhm_open_data.""Part Delivered""",analytics_insight.ordernhm_open_data
SNP,"Standardized Seller NP name resolved from a reference lookup table, defaulting to 'Others' if unmapped.","analytics_insight.ordernhm_open_data.""SNP""",analytics_insight.ordernhm_open_data
BNP,"Standardized Buyer NP name resolved from a reference lookup table, defaulting to 'Others' if unmapped.","analytics_insight.ordernhm_open_data.""BNP""",analytics_insight.ordernhm_open_data
Cancellation code cal,Binary flag (1/0) indicating whether a cancellation code was recorded for the order.,"analytics_insight.ordernhm_open_data.""Cancellation code cal""",analytics_insight.ordernhm_open_data
Tat breach,"TAT breach value (tat_dif coalesced to 0), where any non-zero value indicates delivery exceeded the promised time.","analytics_insight.ordernhm_open_data.""Tat breach""",analytics_insight.ordernhm_open_data
Delivered with TAT,Count flag (no_key) for orders delivered within the promised TAT (no breach).,"analytics_insight.ordernhm_open_data.""Delivered with TAT""",analytics_insight.ordernhm_open_data
Delivered beyond TAT,Count flag (no_key) for orders delivered after the promised TAT (TAT breached).,"analytics_insight.ordernhm_open_data.""Delivered beyond TAT""",analytics_insight.ordernhm_open_data
DBO,Count flag for orders where actual delivery time was on or before the promised time (Delivered By Obligation).,"analytics_insight.ordernhm_open_data.""DBO""",analytics_insight.ordernhm_open_data
Breach (mins),"Minutes between actual resolution time and the promised delivery time; negative = early, positive = late; uses current timestamp for in-process orders.","analytics_insight.ordernhm_open_data.""Breach (mins)""",analytics_insight.ordernhm_open_data
Breach (hrs),Hours between actual resolution time and the promised delivery time; uses current timestamp for in-process orders.,"analytics_insight.ordernhm_open_data.""Breach (hrs)""",analytics_insight.ordernhm_open_data
Breach (days),Days between actual resolution time and the promised delivery time; uses current timestamp for in-process orders.,"analytics_insight.ordernhm_open_data.""Breach (days)""",analytics_insight.ordernhm_open_data
Same Day,Count flag for delivered orders fulfilled on the same calendar day as order creation (day_diff = 0).,"analytics_insight.ordernhm_open_data.""Same Day""",analytics_insight.ordernhm_open_data
Next Day,Count flag for delivered orders fulfilled the calendar day after order creation (day_diff = 1).,"analytics_insight.ordernhm_open_data.""Next Day""",analytics_insight.ordernhm_open_data
Day + 2,Count flag for delivered orders fulfilled two calendar days after order creation (day_diff = 2).,"analytics_insight.ordernhm_open_data.""Day + 2""",analytics_insight.ordernhm_open_data
