Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_b2b_data_stage.""category""",opendata_nodata.md_b2b_data_stage,
bnp,Data representing the bnp.,"opendata_nodata.md_b2b_data_stage.""bnp""",opendata_nodata.md_b2b_data_stage,
snp,Data representing the snp.,"opendata_nodata.md_b2b_data_stage.""snp""",opendata_nodata.md_b2b_data_stage,
order_count,Data representing the order count.,"opendata_nodata.md_b2b_data_stage.""order_count""",opendata_nodata.md_b2b_data_stage,
"▼ md_b2c_data   (base table, 10 cols)",,,opendata_nodata.md_b2c_data,"CREATE INDEX idx_retail_b2c_agg ON opendata_nodata.md_b2c_data USING btree (""Date"", domain, delivery_pincode, seller_pincode)

CREATE INDEX idx_buyer_np ON opendata_nodata.md_b2c_data USING btree (buyer_np)

CREATE INDEX idx_date ON opendata_nodata.md_b2c_data USING btree (""Date"")

CREATE INDEX idx_dpincode ON opendata_nodata.md_b2c_data USING btree (delivery_pincode)

CREATE INDEX idx_seller_np ON opendata_nodata.md_b2c_data USING btree (seller_np)

CREATE INDEX idx_spincode ON opendata_nodata.md_b2c_data USING btree (seller_pincode)"
Date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_b2c_data.""Date""",opendata_nodata.md_b2c_data,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_b2c_data.""domain""",opendata_nodata.md_b2c_data,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_b2c_data.""category""",opendata_nodata.md_b2c_data,
buyer_np,Data representing the buyer np.,"opendata_nodata.md_b2c_data.""buyer_np""",opendata_nodata.md_b2c_data,
seller_np,Data representing the seller np.,"opendata_nodata.md_b2c_data.""seller_np""",opendata_nodata.md_b2c_data,
provider_key,Unique identifier for provider key.,"opendata_nodata.md_b2c_data.""provider_key""",opendata_nodata.md_b2c_data,
seller_pincode,Indian postal code (pincode).,"opendata_nodata.md_b2c_data.""seller_pincode""",opendata_nodata.md_b2c_data,
delivery_pincode,Indian postal code (pincode).,"opendata_nodata.md_b2c_data.""delivery_pincode""",opendata_nodata.md_b2c_data,
order_count,Data representing the order count.,"opendata_nodata.md_b2c_data.""order_count""",opendata_nodata.md_b2c_data,
modified_date,Timestamp or date indicating when modified date occurred.,"opendata_nodata.md_b2c_data.""modified_date""",opendata_nodata.md_b2c_data,
"▼ md_b2c_data_stage   (base table, 9 cols)",,,opendata_nodata.md_b2c_data_stage,
Date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_b2c_data_stage.""Date""",opendata_nodata.md_b2c_data_stage,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_b2c_data_stage.""domain""",opendata_nodata.md_b2c_data_stage,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_b2c_data_stage.""category""",opendata_nodata.md_b2c_data_stage,
buyer_np,Data representing the buyer np.,"opendata_nodata.md_b2c_data_stage.""buyer_np""",opendata_nodata.md_b2c_data_stage,
seller_np,Data representing the seller np.,"opendata_nodata.md_b2c_data_stage.""seller_np""",opendata_nodata.md_b2c_data_stage,
provider_key,Unique identifier for provider key.,"opendata_nodata.md_b2c_data_stage.""provider_key""",opendata_nodata.md_b2c_data_stage,
seller_pincode,Indian postal code (pincode).,"opendata_nodata.md_b2c_data_stage.""seller_pincode""",opendata_nodata.md_b2c_data_stage,
delivery_pincode,Indian postal code (pincode).,"opendata_nodata.md_b2c_data_stage.""delivery_pincode""",opendata_nodata.md_b2c_data_stage,
order_count,Data representing the order count.,"opendata_nodata.md_b2c_data_stage.""order_count""",opendata_nodata.md_b2c_data_stage,
"▼ md_data_sheets   (base table, 7 cols)",,,opendata_nodata.md_data_sheets,"CREATE UNIQUE INDEX md_data_sheets_pkey ON opendata_nodata.md_data_sheets USING btree (id)

CREATE INDEX ix_ondc_prod_mdsheet_md_data_sheets_id ON opendata_nodata.md_data_sheets USING btree (id)"
id,Unique identifier for id.,"opendata_nodata.md_data_sheets.""id""",opendata_nodata.md_data_sheets,
title,Data representing the title.,"opendata_nodata.md_data_sheets.""title""",opendata_nodata.md_data_sheets,
content,Data representing the content.,"opendata_nodata.md_data_sheets.""content""",opendata_nodata.md_data_sheets,
owner_id,Unique identifier for owner.,"opendata_nodata.md_data_sheets.""owner_id""",opendata_nodata.md_data_sheets,
is_public,Boolean flag indicating is public.,"opendata_nodata.md_data_sheets.""is_public""",opendata_nodata.md_data_sheets,
created_at,Timestamp when the record was created.,"opendata_nodata.md_data_sheets.""created_at""",opendata_nodata.md_data_sheets,
updated_at,Timestamp when the record was last updated.,"opendata_nodata.md_data_sheets.""updated_at""",opendata_nodata.md_data_sheets,
"▼ md_finance_cl   (base table, 6 cols)",,,opendata_nodata.md_finance_cl,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_finance_cl.""date""",opendata_nodata.md_finance_cl,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_finance_cl.""domain""",opendata_nodata.md_finance_cl,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_finance_cl.""category""",opendata_nodata.md_finance_cl,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_finance_cl.""bap_id""",opendata_nodata.md_finance_cl,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_finance_cl.""bpp_id""",opendata_nodata.md_finance_cl,
orders_count,Data representing the orders count.,"opendata_nodata.md_finance_cl.""orders_count""",opendata_nodata.md_finance_cl,
"▼ md_finance_cl_stage   (base table, 6 cols)",,,opendata_nodata.md_finance_cl_stage,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_finance_cl_stage.""date""",opendata_nodata.md_finance_cl_stage,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_finance_cl_stage.""domain""",opendata_nodata.md_finance_cl_stage,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_finance_cl_stage.""category""",opendata_nodata.md_finance_cl_stage,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_finance_cl_stage.""bap_id""",opendata_nodata.md_finance_cl_stage,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_finance_cl_stage.""bpp_id""",opendata_nodata.md_finance_cl_stage,
orders_count,Data representing the orders count.,"opendata_nodata.md_finance_cl_stage.""orders_count""",opendata_nodata.md_finance_cl_stage,
"▼ md_finance_gl   (base table, 6 cols)",,,opendata_nodata.md_finance_gl,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_finance_gl.""date""",opendata_nodata.md_finance_gl,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_finance_gl.""domain""",opendata_nodata.md_finance_gl,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_finance_gl.""category""",opendata_nodata.md_finance_gl,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_finance_gl.""bap_id""",opendata_nodata.md_finance_gl,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_finance_gl.""bpp_id""",opendata_nodata.md_finance_gl,
order_count,Data representing the order count.,"opendata_nodata.md_finance_gl.""order_count""",opendata_nodata.md_finance_gl,
"▼ md_finance_gl_stage   (base table, 6 cols)",,,opendata_nodata.md_finance_gl_stage,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_finance_gl_stage.""date""",opendata_nodata.md_finance_gl_stage,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_finance_gl_stage.""domain""",opendata_nodata.md_finance_gl_stage,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_finance_gl_stage.""category""",opendata_nodata.md_finance_gl_stage,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_finance_gl_stage.""bap_id""",opendata_nodata.md_finance_gl_stage,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_finance_gl_stage.""bpp_id""",opendata_nodata.md_finance_gl_stage,
order_count,Data representing the order count.,"opendata_nodata.md_finance_gl_stage.""order_count""",opendata_nodata.md_finance_gl_stage,
"▼ md_finance_mf   (base table, 8 cols)",,,opendata_nodata.md_finance_mf,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_finance_mf.""date""",opendata_nodata.md_finance_mf,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_finance_mf.""domain""",opendata_nodata.md_finance_mf,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_finance_mf.""category""",opendata_nodata.md_finance_mf,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_finance_mf.""bap_id""",opendata_nodata.md_finance_mf,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_finance_mf.""bpp_id""",opendata_nodata.md_finance_mf,
fulfillment_type,Data representing the fulfillment type.,"opendata_nodata.md_finance_mf.""fulfillment_type""",opendata_nodata.md_finance_mf,
Units Allocated,Timestamp or date indicating when units allocated occurred.,"opendata_nodata.md_finance_mf.""Units Allocated""",opendata_nodata.md_finance_mf,
modified_date,Timestamp or date indicating when modified date occurred.,"opendata_nodata.md_finance_mf.""modified_date""",opendata_nodata.md_finance_mf,
"▼ md_finance_mf_stage   (base table, 7 cols)",,,opendata_nodata.md_finance_mf_stage,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_finance_mf_stage.""date""",opendata_nodata.md_finance_mf_stage,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_finance_mf_stage.""domain""",opendata_nodata.md_finance_mf_stage,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_finance_mf_stage.""category""",opendata_nodata.md_finance_mf_stage,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_finance_mf_stage.""bap_id""",opendata_nodata.md_finance_mf_stage,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_finance_mf_stage.""bpp_id""",opendata_nodata.md_finance_mf_stage,
fulfillment_type,Data representing the fulfillment type.,"opendata_nodata.md_finance_mf_stage.""fulfillment_type""",opendata_nodata.md_finance_mf_stage,
Units Allocated,Timestamp or date indicating when units allocated occurred.,"opendata_nodata.md_finance_mf_stage.""Units Allocated""",opendata_nodata.md_finance_mf_stage,
"▼ md_finance_pl   (base table, 8 cols)",,,opendata_nodata.md_finance_pl,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_finance_pl.""date""",opendata_nodata.md_finance_pl,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_finance_pl.""domain""",opendata_nodata.md_finance_pl,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_finance_pl.""category""",opendata_nodata.md_finance_pl,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_finance_pl.""bap_id""",opendata_nodata.md_finance_pl,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_finance_pl.""bpp_id""",opendata_nodata.md_finance_pl,
sub_domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_finance_pl.""sub_domain""",opendata_nodata.md_finance_pl,
orders_count,Data representing the orders count.,"opendata_nodata.md_finance_pl.""orders_count""",opendata_nodata.md_finance_pl,
modified_date,Timestamp or date indicating when modified date occurred.,"opendata_nodata.md_finance_pl.""modified_date""",opendata_nodata.md_finance_pl,
"▼ md_finance_pl_stage   (base table, 7 cols)",,,opendata_nodata.md_finance_pl_stage,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_finance_pl_stage.""date""",opendata_nodata.md_finance_pl_stage,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_finance_pl_stage.""domain""",opendata_nodata.md_finance_pl_stage,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_finance_pl_stage.""category""",opendata_nodata.md_finance_pl_stage,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_finance_pl_stage.""bap_id""",opendata_nodata.md_finance_pl_stage,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_finance_pl_stage.""bpp_id""",opendata_nodata.md_finance_pl_stage,
sub_domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_finance_pl_stage.""sub_domain""",opendata_nodata.md_finance_pl_stage,
orders_count,Data representing the orders count.,"opendata_nodata.md_finance_pl_stage.""orders_count""",opendata_nodata.md_finance_pl_stage,
"▼ md_gift_voucher   (base table, 7 cols)",,,opendata_nodata.md_gift_voucher,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_gift_voucher.""date""",opendata_nodata.md_gift_voucher,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_gift_voucher.""domain""",opendata_nodata.md_gift_voucher,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_gift_voucher.""category""",opendata_nodata.md_gift_voucher,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_gift_voucher.""bap_id""",opendata_nodata.md_gift_voucher,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_gift_voucher.""bpp_id""",opendata_nodata.md_gift_voucher,
order_count,Data representing the order count.,"opendata_nodata.md_gift_voucher.""order_count""",opendata_nodata.md_gift_voucher,
modified_date,Timestamp or date indicating when modified date occurred.,"opendata_nodata.md_gift_voucher.""modified_date""",opendata_nodata.md_gift_voucher,
"▼ md_gift_voucher_stage   (base table, 6 cols)",,,opendata_nodata.md_gift_voucher_stage,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_gift_voucher_stage.""date""",opendata_nodata.md_gift_voucher_stage,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_gift_voucher_stage.""domain""",opendata_nodata.md_gift_voucher_stage,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_gift_voucher_stage.""category""",opendata_nodata.md_gift_voucher_stage,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_gift_voucher_stage.""bap_id""",opendata_nodata.md_gift_voucher_stage,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_gift_voucher_stage.""bpp_id""",opendata_nodata.md_gift_voucher_stage,
order_count,Data representing the order count.,"opendata_nodata.md_gift_voucher_stage.""order_count""",opendata_nodata.md_gift_voucher_stage,
"▼ md_gift_vouchers_gsheet_stage   (base table, 9 cols)",,,opendata_nodata.md_gift_vouchers_gsheet_stage,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_gift_vouchers_gsheet_stage.""date""",opendata_nodata.md_gift_vouchers_gsheet_stage,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_gift_vouchers_gsheet_stage.""domain""",opendata_nodata.md_gift_vouchers_gsheet_stage,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_gift_vouchers_gsheet_stage.""category""",opendata_nodata.md_gift_vouchers_gsheet_stage,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_gift_vouchers_gsheet_stage.""bap_id""",opendata_nodata.md_gift_vouchers_gsheet_stage,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_gift_vouchers_gsheet_stage.""bpp_id""",opendata_nodata.md_gift_vouchers_gsheet_stage,
buyer_np,Data representing the buyer np.,"opendata_nodata.md_gift_vouchers_gsheet_stage.""buyer_np""",opendata_nodata.md_gift_vouchers_gsheet_stage,
seller_np,Data representing the seller np.,"opendata_nodata.md_gift_vouchers_gsheet_stage.""seller_np""",opendata_nodata.md_gift_vouchers_gsheet_stage,
order_count,Data representing the order count.,"opendata_nodata.md_gift_vouchers_gsheet_stage.""order_count""",opendata_nodata.md_gift_vouchers_gsheet_stage,
type_new,Data representing the type new.,"opendata_nodata.md_gift_vouchers_gsheet_stage.""type_new""",opendata_nodata.md_gift_vouchers_gsheet_stage,
"▼ md_home_service   (base table, 7 cols)",,,opendata_nodata.md_home_service,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_home_service.""date""",opendata_nodata.md_home_service,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_home_service.""domain""",opendata_nodata.md_home_service,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_home_service.""category""",opendata_nodata.md_home_service,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_home_service.""bap_id""",opendata_nodata.md_home_service,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_home_service.""bpp_id""",opendata_nodata.md_home_service,
order_count,Data representing the order count.,"opendata_nodata.md_home_service.""order_count""",opendata_nodata.md_home_service,
modified_date,Timestamp or date indicating when modified date occurred.,"opendata_nodata.md_home_service.""modified_date""",opendata_nodata.md_home_service,
"▼ md_home_service_stage   (base table, 6 cols)",,,opendata_nodata.md_home_service_stage,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_home_service_stage.""date""",opendata_nodata.md_home_service_stage,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_home_service_stage.""domain""",opendata_nodata.md_home_service_stage,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_home_service_stage.""category""",opendata_nodata.md_home_service_stage,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_home_service_stage.""bap_id""",opendata_nodata.md_home_service_stage,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_home_service_stage.""bpp_id""",opendata_nodata.md_home_service_stage,
order_count,Data representing the order count.,"opendata_nodata.md_home_service_stage.""order_count""",opendata_nodata.md_home_service_stage,
"▼ md_logistics   (base table, 10 cols)",,,opendata_nodata.md_logistics,"CREATE INDEX idx_logistics_agg ON opendata_nodata.md_logistics USING btree (date, domain, delivery_pincode, pick_up_pincode)

CREATE INDEX idx_bap_id ON opendata_nodata.md_logistics USING btree (bap_id)

CREATE INDEX idx_bpp_id ON opendata_nodata.md_logistics USING btree (bpp_id)

CREATE INDEX idx_delivery_pincode ON opendata_nodata.md_logistics USING btree (delivery_pincode)

CREATE INDEX idx_log_date ON opendata_nodata.md_logistics USING btree (date)

CREATE INDEX idx_pick_up_pincode ON opendata_nodata.md_logistics USING btree (pick_up_pincode)"
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_logistics.""date""",opendata_nodata.md_logistics,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_logistics.""domain""",opendata_nodata.md_logistics,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_logistics.""category""",opendata_nodata.md_logistics,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_logistics.""bap_id""",opendata_nodata.md_logistics,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_logistics.""bpp_id""",opendata_nodata.md_logistics,
sub_cat,Timestamp or date indicating when sub cat occurred.,"opendata_nodata.md_logistics.""sub_cat""",opendata_nodata.md_logistics,
order_count,Data representing the order count.,"opendata_nodata.md_logistics.""order_count""",opendata_nodata.md_logistics,
modified_date,Timestamp or date indicating when modified date occurred.,"opendata_nodata.md_logistics.""modified_date""",opendata_nodata.md_logistics,
pick_up_pincode,Indian postal code (pincode).,"opendata_nodata.md_logistics.""pick_up_pincode""",opendata_nodata.md_logistics,
delivery_pincode,Indian postal code (pincode).,"opendata_nodata.md_logistics.""delivery_pincode""",opendata_nodata.md_logistics,
"▼ md_logistics_stage   (base table, 9 cols)",,,opendata_nodata.md_logistics_stage,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_logistics_stage.""date""",opendata_nodata.md_logistics_stage,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_logistics_stage.""domain""",opendata_nodata.md_logistics_stage,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_logistics_stage.""category""",opendata_nodata.md_logistics_stage,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_logistics_stage.""bap_id""",opendata_nodata.md_logistics_stage,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_logistics_stage.""bpp_id""",opendata_nodata.md_logistics_stage,
sub_cat,Timestamp or date indicating when sub cat occurred.,"opendata_nodata.md_logistics_stage.""sub_cat""",opendata_nodata.md_logistics_stage,
order_count,Data representing the order count.,"opendata_nodata.md_logistics_stage.""order_count""",opendata_nodata.md_logistics_stage,
pick_up_pincode,Indian postal code (pincode).,"opendata_nodata.md_logistics_stage.""pick_up_pincode""",opendata_nodata.md_logistics_stage,
delivery_pincode,Indian postal code (pincode).,"opendata_nodata.md_logistics_stage.""delivery_pincode""",opendata_nodata.md_logistics_stage,
"▼ md_mobility_bus   (base table, 8 cols)",,,opendata_nodata.md_mobility_bus,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_mobility_bus.""date""",opendata_nodata.md_mobility_bus,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_mobility_bus.""domain""",opendata_nodata.md_mobility_bus,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_mobility_bus.""category""",opendata_nodata.md_mobility_bus,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_mobility_bus.""bap_id""",opendata_nodata.md_mobility_bus,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_mobility_bus.""bpp_id""",opendata_nodata.md_mobility_bus,
tickets,Data representing the tickets.,"opendata_nodata.md_mobility_bus.""tickets""",opendata_nodata.md_mobility_bus,
rides_qty,Unique identifier for rides qty.,"opendata_nodata.md_mobility_bus.""rides_qty""",opendata_nodata.md_mobility_bus,
modified_date,Timestamp or date indicating when modified date occurred.,"opendata_nodata.md_mobility_bus.""modified_date""",opendata_nodata.md_mobility_bus,
"▼ md_mobility_bus_stage   (base table, 7 cols)",,,opendata_nodata.md_mobility_bus_stage,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_mobility_bus_stage.""date""",opendata_nodata.md_mobility_bus_stage,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_mobility_bus_stage.""domain""",opendata_nodata.md_mobility_bus_stage,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_mobility_bus_stage.""category""",opendata_nodata.md_mobility_bus_stage,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_mobility_bus_stage.""bap_id""",opendata_nodata.md_mobility_bus_stage,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_mobility_bus_stage.""bpp_id""",opendata_nodata.md_mobility_bus_stage,
tickets,Data representing the tickets.,"opendata_nodata.md_mobility_bus_stage.""tickets""",opendata_nodata.md_mobility_bus_stage,
rides_qty,Unique identifier for rides qty.,"opendata_nodata.md_mobility_bus_stage.""rides_qty""",opendata_nodata.md_mobility_bus_stage,
"▼ md_mobility_metro   (base table, 9 cols)",,,opendata_nodata.md_mobility_metro,
Date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_mobility_metro.""Date""",opendata_nodata.md_mobility_metro,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_mobility_metro.""domain""",opendata_nodata.md_mobility_metro,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_mobility_metro.""category""",opendata_nodata.md_mobility_metro,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.md_mobility_metro.""bpp_id""",opendata_nodata.md_mobility_metro,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.md_mobility_metro.""bap_id""",opendata_nodata.md_mobility_metro,
buyer_np,Data representing the buyer np.,"opendata_nodata.md_mobility_metro.""buyer_np""",opendata_nodata.md_mobility_metro,
seller_np,Data representing the seller np.,"opendata_nodata.md_mobility_metro.""seller_np""",opendata_nodata.md_mobility_metro,
type,Data representing the type.,"opendata_nodata.md_mobility_metro.""type""",opendata_nodata.md_mobility_metro,
order_count,Data representing the order count.,"opendata_nodata.md_mobility_metro.""order_count""",opendata_nodata.md_mobility_metro,
"▼ md_mobility_metro_stage   (base table, 9 cols)",,,opendata_nodata.md_mobility_metro_stage,
Date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_mobility_metro_stage.""Date""",opendata_nodata.md_mobility_metro_stage,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_mobility_metro_stage.""domain""",opendata_nodata.md_mobility_metro_stage,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_mobility_metro_stage.""category""",opendata_nodata.md_mobility_metro_stage,
